,Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min,Dia
20388,Pedrinhas Paulista,SP,35,22,50,22,24/8/2024
20389,Pedra Dourada,MG,27,13,74,30,24/8/2024
20390,Pedra Branca do Amapari,AP,32,23,95,58,24/8/2024
20391,Pavão,MG,31,18,99,37,24/8/2024
20392,Pedra Branca,CE,30,20,77,40,24/8/2024
20393,Paulo Ramos,MA,35,23,86,38,24/8/2024
20394,Pederneiras,SP,31,17,88,43,24/8/2024
20395,Pedra Bonita,MG,27,16,79,44,24/8/2024
20396,Pé de Serra,BA,30,19,100,49,24/8/2024
20397,Pedra Azul,MG,27,16,100,43,24/8/2024
20398,Pavussu,PI,33,23,75,34,24/8/2024
20399,Paulo de Faria,SP,37,20,43,17,24/8/2024
20400,Paulo Lopes,SC,13,9,90,84,24/8/2024
20401,Paulo Bento,RS,27,13,89,46,24/8/2024
20402,Paulo Frontin,PR,17,11,95,71,24/8/2024
20403,Paulo Afonso,BA,29,20,96,51,24/8/2024
20404,Paulistas,MG,26,14,86,45,24/8/2024
20405,Paulista,PB,35,22,81,30,24/8/2024
20406,Paulista,PE,26,22,92,72,24/8/2024
20407,Paula Cândido,MG,30,18,70,35,24/8/2024
20408,Paulínia,SP,33,17,87,29,24/8/2024
20409,Paulino Neves,MA,30,26,85,56,24/8/2024
20410,Pauini,AM,37,24,77,36,24/8/2024
20411,Paulicéia,SP,24,16,89,57,24/8/2024
20412,Pau dos Ferros,RN,33,22,76,37,24/8/2024
20413,Pau D'Arco,TO,36,22,81,29,24/8/2024
20414,Pau D'Arco do Piauí,PI,35,23,63,30,24/8/2024
20415,Patos PB,PB,35,21,81,29,24/8/2024
20416,Paty do Alferes,RJ,27,17,94,46,24/8/2024
20417,Patrocínio Paulista,SP,33,18,58,23,24/8/2024
20418,Patrocínio,MG,31,20,50,26,24/8/2024
20419,Patrocínio do Muriaé,MG,32,20,79,42,24/8/2024
20420,Patos de Minas,MG,32,18,51,26,24/8/2024
20421,Patos do Piauí,PI,34,22,73,29,24/8/2024
20422,Pato Bragado,PR,35,22,60,26,24/8/2024
20423,Pato Branco,PR,15,8,97,68,24/8/2024
20424,Passos Maia,SC,16,2,87,46,24/8/2024
20425,Pastos Bons,MA,32,22,65,31,24/8/2024
20426,Passos,MG,33,16,68,25,24/8/2024
20427,Passo Fundo,RS,12,6,98,55,24/8/2024
20428,Passo do Sobrado,RS,28,18,87,54,24/8/2024
20429,Passo de Torres,SC,13,12,81,69,24/8/2024
20430,Passo de Camaragibe,AL,27,22,89,68,24/8/2024
20431,Passira,PE,28,21,91,60,24/8/2024
20432,Passagem,PB,30,19,85,45,24/8/2024
20433,Passagem Franca do Piauí,PI,37,25,56,26,24/8/2024
20434,Passagem Franca,MA,34,24,56,30,24/8/2024
20435,Passa Sete,RS,12,9,98,71,24/8/2024
20436,Passa Tempo,MG,30,16,67,25,24/8/2024
20437,Passa e Fica,RN,30,20,95,52,24/8/2024
20438,Passa Quatro,MG,26,13,80,36,24/8/2024
20439,Parnamirim,RN,28,21,96,65,24/8/2024
20440,Parnamirim,PE,32,19,87,31,24/8/2024
20441,Pariquera-Açu,SP,17,15,100,85,24/8/2024
20442,Parnaíba,PI,35,25,83,41,24/8/2024
20443,Paripueira,AL,26,24,81,75,24/8/2024
20444,Parnarama,MA,36,26,53,26,24/8/2024
20445,Parintins,AM,33,26,91,56,24/8/2024
20446,Pariconha,AL,30,20,94,48,24/8/2024
20447,Paraty,RJ,22,20,87,79,24/8/2024
20448,Paratinga,BA,34,21,77,23,24/8/2024
20449,Pareci Novo,RS,13,10,88,63,24/8/2024
20450,Pardinho,SP,25,13,93,50,24/8/2024
20451,Parecis,RO,36,24,70,31,24/8/2024
20452,Parazinho,RN,32,22,89,44,24/8/2024
20453,Parapuã,SP,32,18,93,31,24/8/2024
20454,Parari,PB,30,19,92,41,24/8/2024
20455,Paraopeba,MG,33,19,58,18,24/8/2024
20456,Paranaiguara,GO,37,20,57,20,24/8/2024
20457,Paranhos,MS,20,13,90,54,24/8/2024
20458,Paranaíba,MS,34,19,77,34,24/8/2024
20459,Paranacity,PR,21,15,95,62,24/8/2024
20460,Paranaitá,MT,37,21,80,33,24/8/2024
20461,Paranapuã,SP,33,20,67,33,24/8/2024
20462,Paranatama,PE,25,17,98,60,24/8/2024
20463,Paramirim,BA,31,17,91,31,24/8/2024
20464,Parambu,CE,32,21,72,31,24/8/2024
20465,Paramoti,CE,34,23,80,38,24/8/2024
20466,Paraíso,SP,35,19,64,23,24/8/2024
20467,Paraná,RN,34,21,82,29,24/8/2024
20468,Paraíso do Tocantins,TO,36,24,39,22,24/8/2024
20469,Paraíso do Norte,PR,29,18,80,28,24/8/2024
20470,Paraipaba,CE,30,24,80,52,24/8/2024
20471,Paraí,RS,14,9,98,80,24/8/2024
20472,Paraisópolis,MG,31,13,89,26,24/8/2024
20473,Paragominas,PA,34,24,87,46,24/8/2024
20474,Paraguaçu Paulista,SP,28,16,94,48,24/8/2024
20475,Paraibuna,SP,26,16,94,57,24/8/2024
20476,Paraguaçu,MG,30,16,72,33,24/8/2024
20477,Pará de Minas,MG,32,18,64,22,24/8/2024
20478,Paquetá,PI,35,22,73,30,24/8/2024
20479,Paracambi,RJ,28,18,98,54,24/8/2024
20480,Papanduva,SC,13,10,95,85,24/8/2024
20481,Paracatu,MG,33,18,66,24,24/8/2024
20482,Palmitos,SC,17,13,95,76,24/8/2024
20483,Pão de Açúcar,AL,30,20,98,52,24/8/2024
20484,Palotina,PR,20,13,91,56,24/8/2024
20485,Pantano Grande,RS,23,18,85,67,24/8/2024
20486,Pancas,ES,30,18,98,37,24/8/2024
20487,Panelas,PE,23,18,99,74,24/8/2024
20488,Palmeirópolis,TO,34,23,43,24,24/8/2024
20489,Palmitinho,RS,17,12,100,64,24/8/2024
20490,Palmelo,GO,35,21,43,19,24/8/2024
20491,Palmital,PR,17,9,100,62,24/8/2024
20492,Palmeirais,PI,36,26,52,24,24/8/2024
20493,Palmeirante,TO,37,22,78,31,24/8/2024
20494,Palmeiras de Goiás,GO,36,21,39,17,24/8/2024
20495,Palmeira dos Índios,AL,27,18,98,61,24/8/2024
20496,Palmeiras,BA,26,17,94,45,24/8/2024
20497,Palmeira do Piauí,PI,36,22,65,26,24/8/2024
20498,Palmeira D'Oeste,SP,35,17,46,14,24/8/2024
20499,Palmeira,SC,16,7,99,66,24/8/2024
20500,Palmas de Monte Alto,BA,33,19,79,24,24/8/2024
20501,Palmares Paulista,SP,36,20,45,16,24/8/2024
20502,Palmeira das Missões,RS,12,5,98,57,24/8/2024
20503,Palmácia,CE,30,20,90,49,24/8/2024
20504,Palmares,PE,27,20,98,72,24/8/2024
20505,Palmares do Sul,RS,21,13,87,69,24/8/2024
20506,Palhano,CE,33,23,79,42,24/8/2024
20507,Palestina do Pará,PA,37,23,82,32,24/8/2024
20508,Palestina,AL,30,20,97,53,24/8/2024
20509,Paiva,MG,29,14,90,42,24/8/2024
20510,Pains,MG,32,17,56,26,24/8/2024
20511,Paineiras,MG,33,16,68,27,24/8/2024
20512,Padre Carvalho,MG,28,16,99,40,24/8/2024
20513,Paes Landim,PI,34,23,66,27,24/8/2024
20514,Palestina,SP,37,21,40,17,24/8/2024
20515,Paço do Lumiar,MA,32,26,84,56,24/8/2024
20516,Pacajá,PA,35,24,89,43,24/8/2024
20517,Pacatuba,CE,31,22,86,45,24/8/2024
20518,Ouro Velho,PB,29,18,91,44,24/8/2024
20519,Ouro Preto,MG,28,16,77,33,24/8/2024
20520,Ouro Branco,AL,30,19,96,47,24/8/2024
20521,Ouro Branco,RN,33,21,81,33,24/8/2024
20522,Osasco,SP,25,15,98,55,24/8/2024
20523,Ouro Fino,MG,31,14,68,22,24/8/2024
20524,Ourinhos,SP,25,17,95,56,24/8/2024
20525,Ouriçangas,BA,28,18,97,56,24/8/2024
20526,Ourém,PA,33,24,94,53,24/8/2024
20527,Osvaldo Cruz,SP,29,16,90,43,24/8/2024
20528,Orós,CE,35,23,72,29,24/8/2024
20529,Ortigueira,PR,17,14,100,93,24/8/2024
20530,Orocó,PE,31,19,89,35,24/8/2024
20531,Orleans,SC,17,12,95,87,24/8/2024
20532,Oriente,SP,36,21,41,19,24/8/2024
20533,Oratórios,MG,28,12,86,35,24/8/2024
20534,Orlândia,SP,35,20,51,20,24/8/2024
20535,Oliveira Fortes,MG,29,13,91,40,24/8/2024
20536,Onça de Pitangui,MG,31,15,73,24,24/8/2024
20537,Olindina,BA,29,19,100,52,24/8/2024
20538,Olinda,PE,26,23,88,72,24/8/2024
20539,Onda Verde,SP,37,21,39,16,24/8/2024
20540,Olho D'Água Grande,AL,29,20,95,55,24/8/2024
20541,Olho D'Água das Flores,AL,28,19,98,54,24/8/2024
20542,Olho D'Água do Casado,AL,31,19,98,41,24/8/2024
20543,Óleo,SP,25,16,95,47,24/8/2024
20544,Ocara,CE,33,23,79,43,24/8/2024
20545,Novorizonte,MG,28,15,97,44,24/8/2024
20546,Novo Xingu,RS,16,12,96,64,24/8/2024
20547,Novo São Joaquim,MT,35,20,37,15,24/8/2024
20548,Novo Santo Antônio,PI,38,25,69,26,24/8/2024
20549,Novo Repartimento,PA,33,24,96,51,24/8/2024
20550,Novo Oriente de Minas,MG,31,17,99,38,24/8/2024
20551,Novo Mundo,MT,38,22,66,24,24/8/2024
20552,Novo Lino,AL,27,20,100,65,24/8/2024
20553,Novo Jardim,TO,34,21,49,23,24/8/2024
20554,Novo Horizonte do Sul,MS,18,14,95,78,24/8/2024
20555,Novo Horizonte do Oeste,RO,37,23,61,28,24/8/2024
20556,Novo Horizonte do Norte,MT,38,24,50,23,24/8/2024
20557,Novo Hamburgo,RS,14,8,97,64,24/8/2024
20558,Novo Horizonte,SP,32,19,73,34,24/8/2024
20559,Novo Gama,GO,32,20,45,22,24/8/2024
20560,Novo Brasil,GO,38,21,46,16,24/8/2024
20561,Novo Barreiro,RS,16,11,96,67,24/8/2024
20562,Novo Aripuanã,AM,36,25,84,41,24/8/2024
20563,Nova Viçosa,BA,29,21,96,57,24/8/2024
20564,Novo Acordo,TO,36,22,51,20,24/8/2024
20565,Nova Venécia,ES,33,19,97,37,24/8/2024
20566,Nova Trento,SC,20,14,100,72,24/8/2024
20567,Nova União,RO,37,23,78,31,24/8/2024
20568,Nova União,MG,28,14,92,37,24/8/2024
20569,Nova Timboteua,PA,34,23,100,46,24/8/2024
20570,Nova Serrana,MG,33,17,57,23,24/8/2024
20571,Nova Santa Rosa,PR,21,15,90,66,24/8/2024
20572,Nova Santa Rita,PI,34,22,68,27,24/8/2024
20573,Nova Russas,CE,33,23,72,36,24/8/2024
20574,Nova Santa Helena,MT,37,21,58,22,24/8/2024
20575,Nova Ramada,RS,14,11,99,75,24/8/2024
20576,Nova Roma,GO,35,20,50,20,24/8/2024
20577,Nova Resende,MG,27,15,70,34,24/8/2024
20578,Nova Roma do Sul,RS,15,10,100,91,24/8/2024
20579,Nova Rosalândia,TO,36,21,52,22,24/8/2024
20580,Nova Redenção,BA,29,19,97,48,24/8/2024
20581,Nova Porteirinha,MG,33,17,93,26,24/8/2024
20582,Nova Ponte,MG,32,19,58,23,24/8/2024
20583,Nova Olímpia,MT,33,21,81,36,24/8/2024
20584,Nova Olinda do Maranhão,MA,35,24,93,43,24/8/2024
20585,Nova Olinda do Norte,AM,32,25,91,59,24/8/2024
20586,Nova Palma,RS,19,15,100,88,24/8/2024
20587,Nova Olinda,PB,34,20,80,26,24/8/2024
20588,Nova Petrópolis,RS,11,6,100,69,24/8/2024
20589,Nova Olinda,CE,32,20,76,30,24/8/2024
20590,Nova Olímpia,PR,20,14,94,62,24/8/2024
20591,Nova Módica,MG,28,18,95,45,24/8/2024
20592,Nova Marilândia,MT,38,21,56,21,24/8/2024
20593,Nova Monte Verde,MT,35,22,72,36,24/8/2024
20594,Nova Mamoré,RO,36,23,81,36,24/8/2024
20595,Nova Ipixuna,PA,37,23,79,29,24/8/2024
20596,Nova Lima,MG,31,13,89,25,24/8/2024
20597,Nova Laranjeiras,PR,18,10,100,63,24/8/2024
20598,Nova Itarana,BA,26,17,100,61,24/8/2024
20599,Nova Guarita,MT,38,22,68,25,24/8/2024
20600,Nova Hartz,RS,12,8,98,68,24/8/2024
20601,Nova Ibiá,BA,26,19,98,65,24/8/2024
20602,Nova Guataporanga,SP,38,21,49,17,24/8/2024
20603,Nova Floresta,PB,28,19,93,56,24/8/2024
20604,Nova Friburgo,RJ,25,15,80,47,24/8/2024
20605,Nova Fátima,PR,20,14,100,74,24/8/2024
20606,Nova Esperança do Piriá,PA,33,24,88,51,24/8/2024
20607,Nova Europa,SP,35,19,73,25,24/8/2024
20608,Nova Era,MG,30,14,94,37,24/8/2024
20609,Nova Cruz,RN,30,22,90,56,24/8/2024
20610,Nova Erechim,SC,30,19,77,42,24/8/2024
20611,Nova Castilho,SP,34,17,40,16,24/8/2024
20612,Nova Crixás,GO,37,22,43,21,24/8/2024
20613,Nova Canaã Paulista,SP,35,19,41,17,24/8/2024
20614,Nova Belém,MG,27,18,96,52,24/8/2024
20615,Nova Canaã,BA,26,19,99,61,24/8/2024
20616,Nova Boa Vista,RS,15,11,97,68,24/8/2024
20617,Nova Bassano,RS,9,4,98,79,24/8/2024
20618,Nova Aurora,GO,34,18,56,19,24/8/2024
20619,Nova Canãa do Norte,MT,38,23,58,24,24/8/2024
20620,Nova Brasilândia D'Oeste,RO,37,24,59,29,24/8/2024
20621,Nova Brasilândia,MT,34,20,36,15,24/8/2024
20622,Nova América,GO,33,20,40,23,24/8/2024
20623,Nova América da Colina,PR,23,16,99,55,24/8/2024
20624,Nossa Senhora do Livramento,MT,39,25,40,20,24/8/2024
20625,Nova Aliança do Ivaí,PR,27,17,87,40,24/8/2024
20626,Nossa Senhora das Dores,SE,28,20,95,59,24/8/2024
20627,Nossa Senhora de Nazaré,PI,36,26,64,27,24/8/2024
20628,Nossa Senhora da Glória,SE,30,20,99,52,24/8/2024
20629,Nossa Senhora de Lourdes,SE,29,20,100,52,24/8/2024
20630,Nova Andradina,MS,16,14,95,84,24/8/2024
20631,Niterói,RJ,26,21,91,59,24/8/2024
20632,Nova Aliança,SP,37,22,36,17,24/8/2024
20633,Nísia Floresta,RN,28,22,90,66,24/8/2024
20634,Nortelândia,MT,40,24,42,17,24/8/2024
20635,Nina Rodrigues,MA,37,24,81,29,24/8/2024
20636,Nonoai,RS,17,14,95,73,24/8/2024
20637,Nossa Senhora Aparecida,SE,28,19,100,57,24/8/2024
20638,Nioaque,MS,27,17,90,54,24/8/2024
20639,Nilo Peçanha,BA,27,21,97,72,24/8/2024
20640,Nilópolis,RJ,29,21,92,55,24/8/2024
20641,Nazaré do Piauí,PI,35,24,61,26,24/8/2024
20642,Neves Paulista,SP,36,22,36,18,24/8/2024
20643,Nerópolis,GO,34,20,40,18,24/8/2024
20644,Nazarezinho,PB,34,22,74,30,24/8/2024
20645,Nepomuceno,MG,31,16,65,29,24/8/2024
20646,Nazaré,BA,27,20,100,70,24/8/2024
20647,Navegantes,SC,16,12,87,80,24/8/2024
20648,Natividade,RJ,33,18,81,35,24/8/2024
20649,Natividade da Serra,SP,29,16,65,30,24/8/2024
20650,Naviraí,MS,20,14,96,59,24/8/2024
20651,Natividade,TO,36,24,40,21,24/8/2024
20652,Naque,MG,31,16,79,35,24/8/2024
20653,Nanuque,MG,32,19,98,36,24/8/2024
20654,Muzambinho,MG,32,16,61,20,24/8/2024
20655,Natal,RN,28,22,92,65,24/8/2024
20656,Mutunópolis,GO,36,21,44,20,24/8/2024
20657,Natércia,MG,29,14,69,30,24/8/2024
20658,Murutinga do Sul,SP,32,18,87,37,24/8/2024
20659,Mutuípe,BA,25,17,100,69,24/8/2024
20660,Muriaé,MG,33,17,75,35,24/8/2024
20661,Muribeca,SE,28,20,98,60,24/8/2024
20662,Murici dos Portelas,PI,37,25,78,30,24/8/2024
20663,Mucajaí,RR,33,23,99,58,24/8/2024
20664,Mucambo,CE,31,20,90,38,24/8/2024
20665,Muqui,ES,30,17,99,35,24/8/2024
20666,Mozarlândia,GO,37,23,42,20,24/8/2024
20667,Muaná,PA,33,24,87,49,24/8/2024
20668,Mostardas,RS,16,10,91,73,24/8/2024
20669,Mossoró,RN,36,23,78,33,24/8/2024
20670,Motuca,SP,35,18,71,23,24/8/2024
20671,Mortugaba,BA,26,15,99,42,24/8/2024
20672,Mossâmedes,GO,36,22,37,19,24/8/2024
20673,Morro Reuter,RS,30,18,79,47,24/8/2024
20674,Morro do Chapéu,BA,23,15,99,53,24/8/2024
20675,Morro do Pilar,MG,28,14,89,45,24/8/2024
20676,Morro Grande,SC,33,18,92,47,24/8/2024
20677,Morro da Fumaça,SC,18,13,94,90,24/8/2024
20678,Morro do Chapéu do Piauí,PI,34,23,95,39,24/8/2024
20679,Morro Cabeça no Tempo,PI,32,20,78,26,24/8/2024
20680,Moreira Sales,PR,20,12,97,55,24/8/2024
20681,Moreilândia,PE,32,19,85,31,24/8/2024
20682,Morro Agudo,SP,37,20,46,17,24/8/2024
20683,Morretes,PR,24,16,97,63,24/8/2024
20684,Morpará,BA,34,21,77,27,24/8/2024
20685,Moreno,PE,27,20,99,70,24/8/2024
20686,Morro Agudo de Goiás,GO,34,22,39,22,24/8/2024
20687,Monteiro Lobato,SP,31,16,65,31,24/8/2024
20688,Montividiu do Norte,GO,35,23,39,22,24/8/2024
20689,Montes Claros de Goiás,GO,36,20,51,23,24/8/2024
20690,Montividiu,GO,33,20,49,22,24/8/2024
20691,Montezuma,MG,29,15,100,36,24/8/2024
20692,Montes Claros,MG,31,17,66,29,24/8/2024
20693,Montes Altos,MA,35,22,68,28,24/8/2024
20694,Monteiro,PB,31,17,96,35,24/8/2024
20695,Monteirópolis,AL,30,20,95,48,24/8/2024
20696,Monte Santo de Minas,MG,32,17,64,25,24/8/2024
20697,Monte Sião,MG,31,16,74,27,24/8/2024
20698,Monte Mor,SP,32,16,89,33,24/8/2024
20699,Monte Santo,BA,29,17,99,39,24/8/2024
20700,Monte das Gameleiras,RN,29,20,93,55,24/8/2024
20701,Monte Formoso,MG,29,12,100,29,24/8/2024
20702,Monte Carmelo,MG,33,19,53,22,24/8/2024
20703,Monte do Carmo,TO,36,22,54,24,24/8/2024
20704,Monte Castelo,SP,26,16,89,49,24/8/2024
20705,Monte Castelo,SC,19,10,98,70,24/8/2024
20706,Monte Carlo,SC,31,15,56,23,24/8/2024
20707,Monte Horebe,PB,33,19,82,28,24/8/2024
20708,Monte Belo do Sul,RS,23,8,93,53,24/8/2024
20709,Monte Azul Paulista,SP,35,20,61,22,24/8/2024
20710,Monte Alto,SP,35,19,70,23,24/8/2024
20711,Monte Alegre de Sergipe,SE,30,19,100,46,24/8/2024
20712,Monte Alegre do Sul,SP,30,14,98,30,24/8/2024
20713,Monte Alegre de Minas,MG,35,22,45,19,24/8/2024
20714,Monte Alegre de Goiás,GO,33,18,70,19,24/8/2024
20715,Monte Alegre,PA,33,25,84,59,24/8/2024
20716,Monte Aprazível,SP,35,20,66,27,24/8/2024
20717,Montalvânia,MG,32,18,84,28,24/8/2024
20718,Monsenhor Gil,PI,37,25,54,26,24/8/2024
20719,Montanhas,RN,29,22,92,59,24/8/2024
20720,Monjolos,MG,29,15,87,25,24/8/2024
20721,Monsenhor Paulo,MG,30,14,71,23,24/8/2024
20722,Monsenhor Tabosa,CE,29,19,91,39,24/8/2024
20723,Monsenhor Hipólito,PI,35,22,73,25,24/8/2024
20724,Montauri,RS,14,0,100,55,24/8/2024
20725,Monções,SP,35,20,64,26,24/8/2024
20726,Monção,MA,34,23,98,45,24/8/2024
20727,Mombaça,CE,33,22,75,36,24/8/2024
20728,Moema,MG,30,17,69,31,24/8/2024
20729,Moiporá,GO,35,19,50,19,24/8/2024
20730,Mogi das Cruzes,SP,25,15,98,62,24/8/2024
20731,Mococa,SP,33,16,67,27,24/8/2024
20732,Moeda,MG,31,14,85,29,24/8/2024
20733,Moita Bonita,SE,28,21,98,59,24/8/2024
20734,Modelo,SC,30,18,81,41,24/8/2024
20735,Missão Velha,CE,33,20,79,29,24/8/2024
20736,Mirinzal,MA,31,24,89,54,24/8/2024
20737,Mirante do Paranapanema,SP,21,15,93,64,24/8/2024
20738,Mirante,BA,30,19,94,41,24/8/2024
20739,Mirandópolis,SP,29,17,87,45,24/8/2024
20740,Miranorte,TO,37,23,41,20,24/8/2024
20741,Mirim Doce,SC,19,8,100,59,24/8/2024
20742,Mirassol D'Oeste,MT,31,22,73,43,24/8/2024
20743,Mirandiba,PE,31,18,89,35,24/8/2024
20744,Miranda,MS,23,16,95,64,24/8/2024
20745,Miranda do Norte,MA,36,23,95,33,24/8/2024
20746,Mirabela,MG,30,17,86,28,24/8/2024
20747,Miraíma,CE,34,23,81,36,24/8/2024
20748,Miraí,MG,31,17,72,43,24/8/2024
20749,Miracema do Tocantins,TO,37,25,42,22,24/8/2024
20750,Miracatu,SP,16,14,100,92,24/8/2024
20751,Miradouro,MG,30,18,69,39,24/8/2024
20752,Minas Novas,MG,30,16,89,33,24/8/2024
20753,Mira Estrela,SP,37,21,62,21,24/8/2024
20754,Minas do Leão,RS,24,19,88,64,24/8/2024
20755,Minaçu,GO,35,23,54,27,24/8/2024
20756,Minador do Negrão,AL,28,19,95,48,24/8/2024
20757,Milton Brandão,PI,35,23,79,27,24/8/2024
20758,Mineiros do Tietê,SP,31,16,89,37,24/8/2024
20759,Mimoso do Sul,ES,33,18,83,40,24/8/2024
20760,Milagres do Maranhão,MA,36,23,94,41,24/8/2024
20761,Milagres,CE,34,21,77,26,24/8/2024
20762,Miguel Pereira,RJ,28,17,99,51,24/8/2024
20763,Miguel Leão,PI,35,25,56,29,24/8/2024
20764,Milagres,BA,26,16,95,58,24/8/2024
20765,Messias,AL,27,21,93,66,24/8/2024
20766,Mesquita,MG,32,16,84,33,24/8/2024
20767,Mercedes,PR,20,15,90,68,24/8/2024
20768,Melgaço,PA,34,25,94,48,24/8/2024
20769,Mesópolis,SP,37,23,36,18,24/8/2024
20770,Meruoca,CE,33,21,86,36,24/8/2024
20771,Mendes,RJ,30,17,100,50,24/8/2024
20772,Mesquita,RJ,29,21,92,55,24/8/2024
20773,Meleiro,SC,13,10,91,82,24/8/2024
20774,Medina,MG,29,17,98,35,24/8/2024
20775,Medeiros Neto,BA,31,18,99,41,24/8/2024
20776,Maximiliano de Almeida,RS,15,10,97,84,24/8/2024
20777,Mauriti,CE,34,20,78,26,24/8/2024
20778,Maurilândia do Tocantins,TO,36,22,79,30,24/8/2024
20779,Matutina,MG,31,17,55,25,24/8/2024
20780,Maués,AM,33,26,92,47,24/8/2024
20781,Medeiros,MG,31,14,60,25,24/8/2024
20782,Mauá da Serra,PR,30,18,75,27,24/8/2024
20783,Matriz de Camaragibe,AL,28,21,96,63,24/8/2024
20784,Matrinchã,GO,36,24,47,24,24/8/2024
20785,Matozinhos,MG,32,16,79,19,24/8/2024
20786,Maturéia,PB,29,17,92,40,24/8/2024
20787,Matos Costa,SC,27,13,92,32,24/8/2024
20788,Mato Verde,MG,32,19,85,30,24/8/2024
20789,Mato Queimado,RS,16,11,90,66,24/8/2024
20790,Mato Leitão,RS,17,13,92,76,24/8/2024
20791,Mato Castelhano,RS,9,5,98,78,24/8/2024
20792,Matinha,MA,35,24,88,40,24/8/2024
20793,Matias Cardoso,MG,30,17,80,25,24/8/2024
20794,Matina,BA,31,19,83,33,24/8/2024
20795,Matias Barbosa,MG,30,16,86,38,24/8/2024
20796,Matipó,MG,27,16,97,47,24/8/2024
20797,Mathias Lobato,MG,32,19,90,33,24/8/2024
20798,Mateus Leme,MG,32,16,76,21,24/8/2024
20799,Materlândia,MG,28,14,100,49,24/8/2024
20800,Mata de São João,BA,27,21,96,66,24/8/2024
20801,Mata Verde,MG,24,16,100,66,24/8/2024
20802,Matão,SP,35,19,69,23,24/8/2024
20803,Mata Grande,AL,26,18,99,60,24/8/2024
20804,Mata,RS,15,10,90,60,24/8/2024
20805,Massaranduba,SC,34,17,81,36,24/8/2024
20806,Massapê,CE,35,24,77,39,24/8/2024
20807,Marzagão,GO,33,17,47,18,24/8/2024
20808,Martins Soares,MG,25,15,100,50,24/8/2024
20809,Maruim,SE,28,20,96,61,24/8/2024
20810,Martinópolis,SP,26,16,91,52,24/8/2024
20811,Martinópole,CE,35,24,74,35,24/8/2024
20812,Marques de Souza,RS,15,11,98,81,24/8/2024
20813,Marizópolis,PB,34,22,72,32,24/8/2024
20814,Maripá de Minas,MG,31,17,77,34,24/8/2024
20815,Marmelópolis,MG,22,12,66,48,24/8/2024
20816,Marliéria,MG,31,17,92,35,24/8/2024
20817,Maripá,PR,21,15,88,65,24/8/2024
20818,Mário Campos,MG,31,17,71,25,24/8/2024
20819,Marinópolis,SP,38,24,33,18,24/8/2024
20820,Maringá,PR,17,14,99,86,24/8/2024
20821,Mariluz,PR,23,15,97,50,24/8/2024
20822,Marília,SP,30,17,93,41,24/8/2024
20823,Mariápolis,SP,37,22,36,12,24/8/2024
20824,Marilena,PR,19,15,94,72,24/8/2024
20825,Marilândia do Sul,PR,18,14,100,85,24/8/2024
20826,Marilândia,ES,32,19,97,40,24/8/2024
20827,Marilac,MG,33,18,91,34,24/8/2024
20828,Maribondo,AL,26,19,100,66,24/8/2024
20829,Mariana Pimentel,RS,15,10,92,71,24/8/2024
20830,Maresias,SP,20,19,96,87,24/8/2024
20831,Marianópolis do Tocantins,TO,37,22,58,24,24/8/2024
20832,Maria da Fé,MG,28,15,66,28,24/8/2024
20833,Mari,PB,29,22,90,58,24/8/2024
20834,Maria Helena,PR,24,16,92,47,24/8/2024
20835,Marechal Floriano,ES,29,17,97,44,24/8/2024
20836,Marechal Deodoro,AL,29,22,94,66,24/8/2024
20837,Marechal Thaumaturgo,AC,35,23,94,45,24/8/2024
20838,Marechal Cândido Rondon,PR,21,15,87,68,24/8/2024
20839,Marcelino Ramos,RS,15,10,95,81,24/8/2024
20840,Marcionílio Souza,BA,30,18,95,44,24/8/2024
20841,Marcolândia,PI,31,18,86,36,24/8/2024
20842,Marcação,PB,30,21,94,63,24/8/2024
20843,Maratá,RS,12,7,100,65,24/8/2024
20844,Marau,RS,12,6,99,56,24/8/2024
20845,Maraú,BA,26,22,97,68,24/8/2024
20846,Maravilha,SC,15,12,97,71,24/8/2024
20847,Maravilhas,MG,30,15,76,23,24/8/2024
20848,Marapanim,PA,32,24,94,62,24/8/2024
20849,Maraial,PE,26,20,97,68,24/8/2024
20850,Marajá do Sena,MA,33,21,92,42,24/8/2024
20851,Maragogipe,BA,27,20,100,73,24/8/2024
20852,Maracás,BA,25,15,100,50,24/8/2024
20853,Maracanã,PA,29,27,82,75,24/8/2024
20854,Maracaçumé,MA,33,25,89,48,24/8/2024
20855,Maracajá,SC,33,19,92,44,24/8/2024
20856,Marabá Paulista,SP,25,16,94,47,24/8/2024
20857,Marabá,PA,36,25,82,34,24/8/2024
20858,Mara Rosa,GO,36,23,40,21,24/8/2024
20859,Manoel Urbano,AC,36,23,83,40,24/8/2024
20860,Maquiné,RS,24,18,82,61,24/8/2024
20861,Mantena,MG,29,17,100,41,24/8/2024
20862,Manoel Vitorino,BA,27,18,99,55,24/8/2024
20863,Mansidão,BA,33,20,78,23,24/8/2024
20864,Manhumirim,MG,25,15,100,54,24/8/2024
20865,Manoel Emídio,PI,36,21,79,30,24/8/2024
20866,Mangaratiba,RJ,23,20,95,79,24/8/2024
20867,Manoel Ribas,PR,16,12,99,84,24/8/2024
20868,Mangueirinha,PR,17,9,97,67,24/8/2024
20869,Manhuaçu,MG,28,16,83,36,24/8/2024
20870,Mar Vermelho,AL,25,19,100,68,24/8/2024
20871,Mandirituba,PR,11,9,100,95,24/8/2024
